,BIC,FSV,LLR,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,PER_prob,SE_prob,linear_prob,pval,qval,max_ll_null
0,532.23573658,0.134961961452,,4,SPINT2,15.2239758473,7.63612841362,-255.074946454,-6.19935077878,4.59129486683,PER,250,0.00153255605116,0.103370661283,0.00110602378845,0.581988833809,0.418011166191,6.78629237377e-13,5.30757000371e-05,0.0101849891847,-271.575378176
1,559.478198844,0.11071584391,,4,TNC,15.2239758473,9.56930020535,-268.696177586,-5.8773110282,3.31307795954,PER,250,0.000943876782989,0.0863851758315,0.00116586685181,0.873049023874,0.126950976126,1.26076219024e-14,2.54313280929e-05,0.00573632605772,-287.392266246
2,620.29138584,0.12756881279,,4,DBI,15.2239758473,8.14771946963,-299.102771084,-6.22752571084,4.36737414853,PER,250,0.00115905282147,0.0851234044397,0.00111293792725,0.974042214735,0.0259577852653,1.89778604984e-15,2.34646714558e-05,0.00548518692557,-318.800398
3,636.359112981,0.172645863452,,4,TP53INP2,15.2239758473,5.70932367207,-307.136634655,-8.33618801611,11.0437109605,PER,250,0.00508254020525,0.240677368849,0.00127196311951,0.944240233557,0.0557597664391,3.89141906262e-12,0.000143585984529,0.0212193678517,-323.005803949
4,592.810133254,0.396459766027,,4,FXYD3,25.8061601339,1.92091009724,-285.362144791,-6.74981422448,21.9365895492,PER,250,0.0106226814694,0.213239883967,0.00111603736877,0.628830839826,0.371169160174,1.62774740482e-18,9.54925040153e-08,5.58066874602e-05,-314.089027054
5,726.548200348,0.528279432686,,4,DCN,25.8061601339,1.12673307271,-352.231178338,-4.31097336044,15.8302324824,PER,250,0.01138869269,0.214397196344,0.000942945480347,0.560374860959,0.439625139041,3.27170452673e-14,8.85787176941e-09,5.99398196522e-06,-385.429556613
6,610.868870028,0.173129331791,,4,B2M,25.8061601339,6.02652366633,-294.391513179,-10.3120572499,16.32202051,PER,250,0.0033302199306,0.157095735471,0.00148320198059,0.820626754677,0.17937324471,6.12981167802e-10,4.06109475559e-06,0.00116029989495,-316.387605272
7,680.038877545,0.178586168754,,4,RPL29,25.8061601339,5.80382252745,-328.976516937,-3.55812651305,2.13788960677,PER,250,0.00570823209959,0.258150797816,0.00111103057861,0.577174857813,0.422802284009,2.28581784954e-05,6.78168799119e-05,0.0119441318497,-345.00294138
8,671.348409655,0.146959819531,,4,CTSK,25.8061601339,7.32437903663,-324.631282992,-3.47136414658,1.61782084634,PER,250,0.00321874711633,0.191429245804,0.00125503540039,0.785200780065,0.212710392665,0.00208882726925,1.17621137861e-05,0.0029652058225,-344.485783577
9,746.225058723,0.171761221114,,4,STARD10,25.8061601339,6.08457676329,-362.069607526,-4.59177851643,3.35180232381,PER,250,0.00663552720933,0.316438961239,0.0011088848114,0.891226669448,0.108717639185,5.56913678406e-05,0.000234370093465,0.0295231191779,-376.654809775
10,707.49308453,0.407995372655,,4,LUM,25.8061601339,1.83092180441,-342.703620429,-5.96324247162,18.1912501508,PER,250,0.00991125643226,0.196020046885,0.00111603736877,0.60810473753,0.391895262076,3.93837783248e-10,1.1849854431e-11,1.5235357842e-08,-388.919238988
11,625.106894552,0.123703364098,,4,C1S,25.8061601339,8.93860131252,-301.51052544,-2.93825935978,0.9616260375,PER,250,0.00239026804587,0.184008994841,0.00127816200256,0.799354913551,0.199854265675,0.000790820773653,0.00011690406794,0.0184274708605,-317.045614383
12,506.524192072,0.241418332485,,4,FCGR3A,25.8061601339,3.96489809807,-242.2191742,-2.62021584952,1.6832856826,PER,250,0.0103218251155,0.320304801324,0.00111508369446,0.956539602123,0.0434603793205,1.85561798555e-08,5.80073347135e-05,0.0108087000349,-259.931530766
