"","x","y","Cell_class"
"2",935.4272463,2535.858258,"Endothelial 1"
"3",938.3505604,2453.827185,"Endothelial 2"
"4",944.1612057,2514.274329,"Endothelial 2"
"5",942.0206499,2392.668177,"Endothelial 2"
"6",951.64935,2392.131835,"Endothelial 2"
"7",953.1417875,2548.750723,"Astrocyte"
"8",973.2198502,2460.317678,"Endothelial 2"
"9",974.7219304,2563.580669,"OD Mature 2"
"10",974.2323407,2514.057789,"Astrocyte"
"11",979.841931,2420.833922,"Endothelial 3"
"12",983.9976716,2475.232714,"Microglia"
"13",987.721257,2465.510106,"Endothelial 2"
"14",989.955668,2483.904746,"Astrocyte"
"15",989.5599355,2420.241323,"Endothelial 2"
"16",994.9487636,2516.63487,"Inhibitory"
"17",1000.972606,2423.691666,"Endothelial 2"
"19",1011.755481,2487.404527,"Endothelial 1"
"20",1015.958573,2543.295634,"OD Mature 1"
"21",1019.598352,2518.199753,"OD Immature 1"
"22",1033.800553,2554.027902,"Astrocyte"
"24",1050.754104,2443.478137,"Endothelial 2"
"25",1053.849091,2450.228667,"Pericytes"
"28",1070.477068,2506.476616,"Astrocyte"
"29",1076.652876,2499.260451,"Pericytes"
"30",1081.454883,2497.150987,"Pericytes"
"31",1087.028626,2500.239275,"Pericytes"
"32",1097.05808,2503.51082,"Pericytes"
"33",1105.698813,2502.713368,"Pericytes"
"34",1107.455318,2460.132228,"Endothelial 2"
"35",1112.402237,2544.295605,"Astrocyte"
"36",1121.581592,2452.717635,"Pericytes"
"37",938.3052167,2479.529052,"Astrocyte"
"38",956.4969099,2399.603473,"Endothelial 2"
"39",964.8060459,2404.872337,"Endothelial 2"
"41",1014.41568,2425.810506,"Endothelial 2"
"43",1034.784406,2497.295766,"Astrocyte"
"44",1047.295313,2438.810108,"Endothelial 2"
"45",1046.254601,2497.129698,"Astrocyte"
"47",1075.345445,2492.442514,"Pericytes"
"49",1087.839417,2439.243474,"Pericytes"
"50",1116.807603,2497.56823,"Pericytes"
"51",1119.851483,2484.133752,"Endothelial 2"
"53",1030.692795,2455.752648,"Pericytes"
"54",1055.620729,2549.428694,"Inhibitory"
"55",1064.829733,2507.763144,"Astrocyte"
"56",1101.369153,2572.578867,"Inhibitory"
"57",1107.572471,2480.720475,"Pericytes"
"58",1073.423915,2513.339626,"Astrocyte"
"60",960.1691903,2465.319932,"Astrocyte"
"61",1020.588805,2459.67806,"Pericytes"
"62",1043.207975,2473.597652,"Endothelial 1"
"63",1054.310691,2495.236672,"Pericytes"
"64",1070.573026,2437.276417,"Pericytes"
"65",1076.336503,2441.608559,"Pericytes"
"66",1101.335896,2441.422284,"Pericytes"
"67",1101.566658,2449.984623,"Endothelial 1"
"70",936.6995214,2738.936427,"OD Mature 2"
"73",953.3528079,2653.039736,"OD Mature 2"
"74",954.7659004,2701.510981,"Excitatory"
"75",963.2112731,2591.167513,"Inhibitory"
"76",967.8410075,2631.985243,"Inhibitory"
"77",967.3415318,2745.784934,"OD Mature 2"
"78",973.4277401,2764.931728,"OD Mature 2"
"79",982.3717448,2684.748522,"Astrocyte"
"80",989.0143041,2635.96052,"Astrocyte"
"82",993.9217669,2770.743824,"Excitatory"
"83",994.5747135,2591.145294,"Inhibitory"
"84",1007.445061,2764.043374,"Endothelial 3"
"85",1013.428874,2719.670111,"OD Immature 1"
"86",1016.704405,2618.910847,"OD Mature 2"
"87",1018.091972,2690.692132,"Microglia"
"88",1021.289899,2737.865143,"Inhibitory"
"89",1023.532974,2650.363097,"Excitatory"
"90",1029.373309,2607.933666,"Excitatory"
"91",1033.050852,2628.501336,"Excitatory"
"92",1033.619842,2753.454606,"Astrocyte"
"93",1032.713017,2763.336061,"Inhibitory"
"94",1033.590858,2672.619864,"Inhibitory"
"95",1040.140819,2605.861927,"Astrocyte"
"96",1044.618235,2686.907983,"Pericytes"
"97",1046.546665,2694.287589,"Pericytes"
"98",1052.686242,2675.413579,"Pericytes"
"99",1049.852571,2688.627976,"Pericytes"
"100",1061.124017,2649.313323,"Excitatory"
"102",1064.09114,2681.576906,"Pericytes"
"103",1064.618796,2673.929718,"Pericytes"
"104",1065.487441,2601.217793,"Astrocyte"
"105",1075.750039,2622.380021,"Astrocyte"
"106",1073.802103,2750.064814,"Inhibitory"
"108",1092.417105,2765.660185,"Astrocyte"
"109",1090.730465,2600.880891,"Inhibitory"
"110",1100.592111,2689.54485,"Inhibitory"
"112",1114.062074,2638.833501,"Inhibitory"
"114",938.2505265,2676.178256,"Inhibitory"
"116",969.387061,2611.098201,"Excitatory"
"117",993.4395867,2647.757804,"Astrocyte"
"118",1001.654031,2664.617263,"Excitatory"
"120",1014.312343,2636.51238,"Inhibitory"
"122",1054.349882,2605.656445,"Endothelial 1"
"123",1058.272714,2622.395079,"OD Mature 2"
"124",1075.84055,2692.049894,"Excitatory"
"125",1093.526051,2666.138623,"OD Mature 2"
"126",1099.662076,2725.755441,"Inhibitory"
"127",1108.63896,2708.814332,"Astrocyte"
"128",943.1083197,2738.81377,"Astrocyte"
"129",999.0566512,2726.247003,"Inhibitory"
"130",1044.728977,2628.671,"Inhibitory"
"131",1056.281028,2713.609546,"OD Mature 1"
"132",1064.648224,2700.398199,"Inhibitory"
"133",1063.084312,2743.776801,"Inhibitory"
"134",1070.940404,2707.363484,"Inhibitory"
"135",1093.899296,2757.387524,"Inhibitory"
"136",1111.990061,2688.49468,"Excitatory"
"137",1002.980801,2593.790486,"Astrocyte"
"139",968.245549,2735.334567,"Inhibitory"
"141",947.3043295,2920.121472,"Inhibitory"
"142",954.1476289,2879.382526,"OD Mature 1"
"144",964.4220787,2856.913943,"OD Immature 1"
"146",970.9104908,2893.458821,"Astrocyte"
"147",978.4519099,2918.038079,"Inhibitory"
"148",986.8590851,2838.359928,"Inhibitory"
"149",982.8959065,2933.888462,"OD Mature 2"
"152",997.595931,2918.174779,"OD Mature 2"
"153",1006.731298,2955.571061,"Inhibitory"
"154",1018.10584,2963.917587,"Inhibitory"
"155",1027.456112,2817.979432,"Astrocyte"
"156",1029.456039,2939.83392,"Endothelial 1"
"157",1030.169594,2924.975602,"Inhibitory"
"158",1033.36566,2853.133371,"Inhibitory"
"159",1032.491446,2887.748351,"Inhibitory"
"160",1044.878891,2820.737857,"Endothelial 3"
"163",1057.003423,2952.631847,"Inhibitory"
"164",1056.093451,2970.263464,"Microglia"
"165",1060.611898,2827.925655,"Inhibitory"
"166",1065.185017,2921.82493,"Inhibitory"
"167",1066.280394,2940.084426,"Astrocyte"
"168",1076.933753,2937.47301,"Inhibitory"
"169",1078.80117,2954.376366,"Inhibitory"
"170",1083.488196,2842.714953,"Endothelial 1"
"171",1096.752181,2943.824597,"Inhibitory"
"172",1108.143757,2943.014098,"Inhibitory"
"173",1119.837213,2862.262245,"Endothelial 1"
"174",1121.03995,2916.120101,"Astrocyte"
"175",963.2881254,2941.268638,"Endothelial 1"
"177",971.5978521,2935.979558,"OD Mature 1"
"178",979.6641932,2870.226241,"OD Mature 2"
"179",1004.133542,2877.576861,"Inhibitory"
"180",1013.644258,2894.406317,"Inhibitory"
"181",1042.30402,2959.314755,"OD Immature 1"
"182",1056.148447,2802.428519,"OD Mature 2"
"183",1071.463599,2890.009647,"Endothelial 3"
"184",1104.205364,2954.471716,"Inhibitory"
"185",1111.316511,2848.039303,"OD Mature 1"
"188",1016.604164,2850.037739,"OD Mature 1"
"189",1027.469666,2837.799489,"OD Immature 1"
"190",1032.943085,2794.017019,"Inhibitory"
"191",1038.213212,2807.87692,"Excitatory"
"192",1063.154501,2899.914275,"Inhibitory"
"193",1082.014805,2933.686454,"Astrocyte"
"194",1101.118172,2786.887277,"Astrocyte"
"195",1087.470753,2862.463251,"Inhibitory"
"197",1095.430783,2876.171746,"OD Immature 1"
"199",1100.235183,2922.035397,"Inhibitory"
"200",993.7732334,2919.687153,"Microglia"
"201",1114.019162,2787.106529,"Astrocyte"
"202",936.8848329,3008.323033,"Inhibitory"
"203",941.3243114,3140.334661,"OD Mature 1"
"205",950.8461536,3152.576118,"Inhibitory"
"206",958.3055002,3005.839615,"Inhibitory"
"207",953.661832,3123.910431,"Astrocyte"
"208",958.3442141,3029.06435,"OD Mature 2"
"210",960.3068952,3146.954279,"Inhibitory"
"211",966.884015,3042.824924,"Inhibitory"
"213",971.5287093,3073.799551,"Inhibitory"
"214",972.3764087,3099.674659,"Inhibitory"
"216",982.4249809,3016.434582,"Astrocyte"
"217",998.4391567,2993.298745,"Astrocyte"
"220",1008.719439,3156.947405,"Inhibitory"
"221",1008.645461,3170.975824,"Inhibitory"
"222",1012.833715,3144.674536,"Inhibitory"
"223",1015.901852,3084.927313,"Inhibitory"
"224",1017.821649,3049.048718,"Endothelial 1"
"225",1027.000474,3010.314029,"Astrocyte"
"226",1033.367693,3137.429728,"OD Mature 2"
"227",1040.431352,3118.385817,"Inhibitory"
"228",1048.540278,3071.015882,"Astrocyte"
"229",1049.264931,3030.72984,"Inhibitory"
"230",1053.691464,3145.865031,"Microglia"
"231",1055.646709,2990.481794,"Inhibitory"
"232",1062.606757,3019.231301,"OD Immature 1"
"233",1061.775596,3081.53893,"Endothelial 3"
"234",1059.81656,3059.721289,"Inhibitory"
"235",1066.006752,3055.456307,"Endothelial 3"
"236",1074.827061,3159.729838,"Inhibitory"
"237",1091.953001,2998.472544,"Inhibitory"
"238",1096.989999,2982.943219,"Inhibitory"
"239",1096.834754,3120.687009,"OD Mature 1"
"240",1102.863227,3013.557985,"Inhibitory"
"241",1109.621606,3164.262184,"Astrocyte"
"243",1116.39585,3146.314688,"Inhibitory"
"244",1118.396595,2990.552325,"Astrocyte"
"245",958.5138902,3130.266899,"Endothelial 1"
"247",974.1713998,3150.144914,"Excitatory"
"248",1014.830322,3153.731356,"Inhibitory"
"249",1067.809879,3139.985162,"Astrocyte"
"250",1075.346415,3096.415986,"Astrocyte"
"252",1006.818851,3071.479244,"Excitatory"
"253",1012.881983,2998.733406,"Excitatory"
"254",1063.280412,3119.088784,"Inhibitory"
"255",1081.695258,3063.852188,"Inhibitory"
"256",1095.583451,3015.676738,"Microglia"
"257",1105.545515,3073.500323,"Microglia"
"258",940.1623581,2989.176826,"Inhibitory"
"259",1046.715966,3080.14627,"Excitatory"
"260",1037.076139,3048.494576,"Inhibitory"
"261",1060.44887,3036.208676,"Inhibitory"
"263",937.2486761,3027.391742,"Astrocyte"
"264",942.1615921,3029.596702,"Astrocyte"
"266",936.1832412,3328.9848,"OD Immature 1"
"267",940.0505735,3366.237875,"OD Mature 4"
"268",941.9396075,3228.846843,"Inhibitory"
"269",948.0396066,3346.002664,"OD Immature 1"
"271",959.3547973,3317.179089,"Inhibitory"
"272",963.789485,3210.316189,"Astrocyte"
"273",973.4802789,3302.225863,"Astrocyte"
"274",973.7840256,3219.209595,"Inhibitory"
"275",973.9748053,3341.913241,"Inhibitory"
"276",975.5223648,3248.586782,"Endothelial 1"
"277",980.7188919,3318.915965,"Inhibitory"
"278",985.8696404,3329.490127,"Endothelial 1"
"279",988.5986628,3352.157017,"Excitatory"
"280",998.1086153,3210.596806,"Inhibitory"
"281",1001.145327,3261.8955,"Inhibitory"
"282",1012.829464,3288.072956,"OD Mature 1"
"283",1020.773894,3271.090923,"Astrocyte"
"284",1023.928058,3238.812336,"Endothelial 3"
"285",1039.587447,3289.064131,"OD Mature 1"
"286",1054.930492,3267.862369,"Inhibitory"
"287",1063.865104,3191.416528,"Astrocyte"
"288",1066.960736,3336.811649,"Astrocyte"
"289",1067.162131,3311.092034,"OD Mature 2"
"290",1069.853039,3287.972625,"Excitatory"
"292",1087.769022,3271.135117,"Inhibitory"
"293",1094.308549,3351.812805,"Endothelial 1"
"294",1098.749123,3261.574387,"Excitatory"
"295",1103.001468,3301.518523,"Astrocyte"
"296",1108.929999,3187.041252,"Inhibitory"
"297",1111.100542,3236.80805,"Inhibitory"
"298",1113.783091,3366.388257,"Excitatory"
"299",1116.821044,3322.624093,"Inhibitory"
"302",1044.996553,3258.149028,"Excitatory"
"303",1074.63421,3230.614701,"Inhibitory"
"304",1076.980632,3209.838526,"Inhibitory"
"305",1116.760649,3283.974553,"Inhibitory"
"306",979.2440828,3350.944987,"OD Mature 1"
"308",1116.596348,3217.036063,"Inhibitory"
"309",950.6879285,3204.664799,"Inhibitory"
"311",966.5115745,3224.731467,"Astrocyte"
"312",1056.219472,3346.656499,"Inhibitory"
"313",1069.235362,3221.482374,"Inhibitory"
"314",935.9691136,3564.594829,"Inhibitory"
"315",935.8781923,3428.73959,"Inhibitory"
"316",939.1563968,3524.528131,"Inhibitory"
"317",941.9937454,3401.494997,"Astrocyte"
"318",946.6883174,3458.588559,"Inhibitory"
"319",960.53527,3458.688532,"Astrocyte"
"321",973.2410197,3429.831939,"Inhibitory"
"322",978.4968659,3462.336652,"Inhibitory"
