"","x","y","z"
"C1",686,352,1
"C2",488,572,1
"C3",614,698,1
"C4",516,726,1
"C5",308,208,2
"C6",204,225,2
"C7",452,253,2
"C8",564,265,2
"C9",528,276,2
"C10",442,316,2
"C11",240,337,2
"C12",473,360,2
"C13",754,393,2
"C14",364,622,2
"C15",312,686,2
"C16",701,308,3
"C17",774,356,3
"C18",720,389,3
"C19",621,494,3
"C20",312,534,3
"C21",265,561,3
"C22",420,585,4
"C23",218,668,4
"C24",777,677,4
"C25",661,808,4
"C26",525,362,5
"C27",409,674,5
"C28",693,805,5
"C29",348,382,6
"C30",261,520,6
"C31",780,550,6
"C32",818,604,6
"C33",485,614,6
"C34",468,669,6
"C35",357,718,6
"C36",552,770,6
"C37",602,737,7
"C38",396,482,8
"C39",660,501,8
"C40",626,558,8
"C41",660,634,8
"C42",742,713,8
"C43",390,241,9
"C44",404,389,9
"C45",281,393,9
"C46",544,425,9
"C47",405,432,9
"C48",480,476,9
"C49",821,646,9
"C50",340,654,9
"C51",454,785,9
"C52",521,801,9
"C53",724,809,9
"C54",388,278,10
"C55",585,301,10
"C56",572,354,10
"C57",601,373,10
"C58",324,429,10
"C59",449,541,10
"C60",678,570,10
"C61",553,605,10
"C62",553,656,10
"C63",334,725,10
"C64",528,297,11
"C65",722,490,11
"C66",544,518,11
"C67",712,538,11
"C68",362,685,11
"C69",428,721,11
"C70",278,213,12
"C71",449,229,12
"C72",302,292,12
"C73",288,345,12
"C74",294,467,12
"C75",553,720,12
"C76",264,270,13
"C77",242,318,13
"C78",364,352,13
"C79",542,461,13
"C80",617,622,13
"C81",205,712,13
"C82",776,748,13
"C83",622,772,13
"C84",400,821,13
"C85",612,225,14
"C86",460,408,14
"C87",264,486,14
"C88",228,585,14
"C89",412,781,14
"C90",386,325,15
"C91",736,329,15
"C92",450,492,15
"C93",508,627,15
"C94",301,653,15
"C95",433,344,16
"C96",256,374,16
"C97",576,572,16
"C98",526,254,17
"C99",272,620,17
"C100",814,724,17
"C101",366,752,17
"C102",326,792,17
"C103",376,402,18
"C104",598,434,18
"C105",812,490,18
"C106",324,574,18
"C107",596,657,18
"C108",725,678,18
"C109",669,774,18
"C110",498,216,19
"C111",701,425,19
"C112",364,518,19
"C113",484,708,19
"C114",628,716,19
"C115",586,749,19
"C116",812,784,20
"C117",650,468,21
"C118",764,481,21
"C119",768,550,21
"C120",698,741,21
"C121",728,821,21
"C122",606,482,22
"C123",722,593,22
"C124",709,462,23
"C125",816,602,23
"C126",660,710,23
"C127",642,598,24
"C128",770,450,25
"C129",693,660,25
"C130",717,518,27
"C131",461,234,28
